WORKORDER_BASE_ID,WORKORDER_LOT_ID,Order Shortage
0100095,1,"A-D1 OP#40 Loss: 54.8%, 12M-GRP OP#130 Loss: 13.5%, S 76 OP#170 Loss: 12.3%, "
0100096,1,
0100098,1,
0100099,1,"A-D1 OP#70 Loss: 20.3%, "
0100102,1,"S 149 GRP OP#65 Loss: 22.3%, 12M-2 OP#90 Loss: 27.0%, "
0100103,1,
0100104,1,"MU PACKING OP#10 Loss: 60.9%, A-D2 OP#110 Loss: 30.4%, "
0100106,1,
0100107,1,
0100108,1,
0100114,1,
0100114,2,
0100114,3,
0100115,1,
0100116,1,
0100117,1,
0100118,1,
0100119,1,"ZHI OP#10 Loss: 15.2%, CLN-ADS OP#21 Loss: 82.0%, "
0100124,1,"S 149 GRP OP#65 Loss: 62.4%, S 149 GRP OP#70 Loss: 88.4%, "
0100125,1,"S 149 GRP OP#70 Loss: 53.6%, "
0100126,1,"S 149 GRP OP#70 Loss: 48.5%, "
0100127,1,
0100128,1,"S 149 GRP OP#20 Loss: 68.7%, "
0100129,1,
0100130,1,
0100131,1,"S 149 GRP OP#70 Loss: 15.8%, "
0100134,1,"S 149 #2 OP#30 Loss: 66.7%, "
0100135,1,
0100136,1,"12M-GRP OP#80 Loss: 13.5%, "
0100138,1,
0100139,1,
0100140,1,
0100141,1,"12M-GRP OP#20 Loss: 12.2%, "
0100142,1,
0100143,1,
0100145,1,"S 76 OP#90 Loss: 99.8%, "
0100146,1,
0100147,1,
0100151,1,
0100152,1,
0100153,1,
0100154,1,"F-CLN OP#70 Loss: 97.5%, "
0100156,1,
0100158,1,"A NEW GAS OP#60 Loss: 83.4%, "
0100159,1,"S 149 #2 OP#30 Loss: 68.9%, "
0100162,1,"S 149 #2 OP#30 Loss: 68.2%, "
0100163,1,"MU PACKING OP#10 Loss: 53.6%, "
0100167,1,"A-D2 OP#50 Loss: 57.9%, S 149 GRP OP#115 Loss: 49.4%, "
0100168,1,
0100169,1,
0100170,1,
0100171,1,
0100173,1,
0100174,1,"F-SLIT OP#60 Loss: 74.8%, "
0100175,1,
0100179,1,
0100181,1,
0100182,1,
0100184,1,
0100186,1,
0100187,1,
0100189,1,
